u	C	S
-4.05405405405	-0.5483780900216226	-0.43825060650531983
-4.03403403403	-0.5314254677126791	-0.42770292035755186
-4.01401401401	-0.5123675332036636	-0.4217479671387615
-3.99399399399	-0.4924257209742036	-0.4207421811762057
-3.97397397397	-0.47285926972882286	-0.4247249573812163
-3.95395395395	-0.4548854710232011	-0.43342392377860556
-3.93393393393	-0.4396052494004584	-0.44627947178374255
-3.91391391391	-0.4279384735394769	-0.4624861788771547
-3.89389389389	-0.4205725595253479	-0.4810478314535011
-3.87387387387	-0.4179269185366733	-0.500842091646243
-3.85385385385	-0.42013469731462244	-0.5206904739034423
-3.83383383383	-0.4270421360792551	-0.5394292081977453
-3.81381381381	-0.43822479567684275	-0.5559767518453276
-3.79379379379	-0.45301894547624666	-0.5693941400663535
-3.77377377377	-0.4705656058069332	-0.578934993278564
-3.75375375375	-0.48986413955470953	-0.5840827746518137
-3.73373373373	-0.5098319080245403	-0.5845737579446549
-3.71371371371	-0.5293663526186912	-0.5804050655482045
-3.69369369369	-0.5474059286465232	-0.5718280151505888
-3.67367367367	-0.5629865808759598	-0.559327821431353
-3.65365365365	-0.5752908825402231	-0.5435913957629108
-3.63363363363	-0.5836875234430694	-0.525465540903755
-3.61361361361	-0.5877594871246794	-0.5059082287069004
-3.59359359359	-0.5873199586660884	-0.4859358674475308
-3.57357357357	-0.5824157114901543	-0.4665695124651111
-3.55355355355	-0.5733183945878289	-0.448782859825072
-3.53353353353	-0.5605047472253181	-0.4334546060213604
-3.51351351351	-0.5446272791748453	-0.42132738196590586
-3.49349349349	-0.5264773510905371	-0.41297500552378225
-3.47347347347	-0.5069428598640318	-0.40877927483100945
-3.45345345345	-0.48696287340743616	-0.4089169761456364
-3.43343343343	-0.4674815713091599	-0.413357235264195
-3.41341341341	-0.4494037415517645	-0.42186882799734937
-3.39339339339	-0.4335538736045126	-0.43403660625904283
-3.37337337337	-0.42064059334615	-0.44928581056541794
-3.35335335335	-0.41122782672983976	-0.4669127404149567
-3.33333333333	-0.4057136794734338	-0.486120048884645
-3.31331331331	-0.404317601977533	-0.5060548192266143
-3.29329329329	-0.40707599366384933	-0.5258475667273279
-3.27327327327	-0.41384600843439767	-0.5446503816945636
-3.25325325325	-0.42431696959253484	-0.561672578687478
-3.23323323323	-0.43802850158717677	-0.5762124298124724
-3.21321321321	-0.4543942469125421	-0.5876838210806961
-3.19319319319	-0.4727298652175246	-0.5956369645675811
-3.17317317317	-0.4922839102801574	-0.5997726094812108
-3.15315315315	-0.5122701477096294	-0.599949506987862
-3.13313313313	-0.5318999077754019	-0.5961851828580168
